ts,Label,Site,Customer
2023-05-27 15:35:29,coming to lab,R1,P38
2023-05-27 15:40:32,Return to lab,R1,P39
2023-05-27 17:12:17,return to lab,R1,P39
2023-05-27 17:22:03,going out for tea,R1,P37
2023-05-27 17:22:36,going out for tea,R1,P38
2023-05-27 17:55:48,return to lab,R1,P39
2023-05-27 18:22:52,discussing with someone ,R1,P39
2023-05-27 18:24:55,AC on. Fan off.,H3,P7
2023-05-27 19:06:45,turned off the AC,H3,P8
2023-05-27 19:10:54,taking rest,R1,P39
2023-05-27 20:26:45,return to lab,R1,P37
2023-05-27 20:26:50,fan on,R1,P37
2023-05-27 20:27:04,window AC on,R1,P37
2023-05-27 21:18:17,cooking paratha,H3,P7
2023-05-27 21:36:29,"frying peanut, lentils from 9:00 pm 
 p.m. to 9:10 pm. frying musturd seeds, curry leaves. then frying idly in oil",H7,P16
2023-05-27 22:00:47,turning on AC,H3,P8
2023-05-27 22:16:31,cutting potato and ladies finger in kitchen,H1,P1
2023-05-27 22:16:49,dining fan on,H1,P1
2023-05-27 22:16:55,bedroom fan on,H1,P1
2023-05-27 22:22:04,frying potato and ladies finger,H1,P1
2023-05-27 22:23:00,exhaust off,H1,P1
2023-05-27 22:28:37,turned off the AC ,H3,P8
2023-05-27 22:32:05,frying complete,H1,P1
2023-05-27 22:32:10,making roti,H1,P1
2023-05-27 22:34:00,exhaust on,H1,P1
2023-05-27 22:37:28,Roti complete,H1,P1
2023-05-27 22:38:09,exhaust off,H1,P1
2023-05-27 22:45:17,violin milk,H1,P1
2023-05-27 22:51:36,boiling complete,H1,P1
2023-05-27 22:52:01,eating dinner,H1,P1
2023-05-27 22:52:38,bedroom fan off,H1,P1
2023-05-27 22:54:53,cutting and eating mango,H1,P1
2023-05-27 23:07:22,going out for dinner,R1,P37
2023-05-27 23:10:00,dinner complete,H1,P1
2023-05-27 23:19:02,turn on AC,H3,P7
2023-05-27 23:26:04,washing dishes,H1,P1
2023-05-27 23:31:40,cleaning kitchen,H1,P1
2023-05-27 23:35:01,return to lab,R1,P37
2023-05-27 23:38:07,closing kitchen,H1,P1
2023-05-27 23:44:11,dining fan on,H1,P1
2023-05-27 23:44:27,bedroom fan on,H1,P1
2023-05-28 00:01:28,mosquito repellent on,H1,P1
2023-05-28 00:13:48,turned on mosquito repellent ,H3,P7
2023-05-28 00:16:59,turning of AC,H3,P8
2023-05-28 00:37:45,window AC off,R1,P37
2023-05-28 00:38:43,going out for home,R1,P37
2023-05-28 06:38:27,bedroom fan of,H1,P2
2023-05-28 06:57:21,tea making,H1,P2
2023-05-28 07:00:27,tea making complete,H1,P2
2023-05-28 07:01:05,drinking tea bedroom,H1,P2
2023-05-28 07:07:25,drinking tea complete,H1,P1
2023-05-28 07:07:40,making tea,H1,P1
2023-05-28 07:10:33,making tea complete,H1,P1
2023-05-28 07:11:25,drinking tea at dining,H1,P1
2023-05-28 07:19:12,drinking tea complete,H1,P1
2023-05-28 07:38:11,sweeping house,H1,P1
2023-05-28 07:50:43,Vipin complete,H1,P1
2023-05-28 07:58:39,laughing house,H1,P1
2023-05-28 08:02:44,bedroom fan on,H1,P1
2023-05-28 08:02:53,dining fan on,H1,P1
2023-05-28 08:10:40,mopping complete,H1,P1
2023-05-28 08:19:14,dining fan of,H1,P1
2023-05-28 08:19:24,cutting vegetables,H1,P1
2023-05-28 08:25:29,normal weather,H1,P2
2023-05-28 08:26:40,bedroom fan off,H1,P1
2023-05-28 08:45:50,cutting vegetables complete,H1,P1
2023-05-28 08:48:05,boiling water,H1,P1
2023-05-28 08:50:42,boil water complete,H1,P1
2023-05-28 08:50:42,boil water complete,H1,P1
2023-05-28 09:00:10,bedroom fan on,H1,P1
2023-05-28 09:27:54,Boiled Milk,H3,P7
2023-05-28 09:28:09,Cooked 2 cups of tea,H3,P7
2023-05-28 09:28:50,lighting dhup sticks,H1,P1
2023-05-28 09:48:01,eating snacks and berry,H1,P1
2023-05-28 09:48:38,bedroom fan off,H1,P1
2023-05-28 09:48:52,dining fan on,H1,P1
2023-05-28 09:59:22,bedroom fan on,H1,P1
2023-05-28 10:05:17,cleaning dining table,H1,P1
2023-05-28 10:05:56,washing dishes,H1,P1
2023-05-28 10:08:20,complete,H1,P1
2023-05-28 10:15:14,dining fan of,H1,P1
2023-05-28 10:23:41,boiling potatoes,H1,P1
2023-05-28 10:31:11,complete,H1,P1
2023-05-28 10:33:52,dining point on,H1,P2
2023-05-28 10:39:18,enter room. turned on fan,H3,P7
2023-05-28 10:40:04,making posto,H1,P1
2023-05-28 10:40:32,dining fan off,H1,P1
2023-05-28 10:48:56,posto making complete,H1,P1
2023-05-28 10:52:50,cooking sag,H1,P1
2023-05-28 10:53:58,cooking poha,H3,P7
2023-05-28 11:01:04,complete,H1,P1
2023-05-28 11:03:08,frying potol ,H1,P1
2023-05-28 11:10:10,open windows. ,H3,P7
2023-05-28 11:10:18,eating poha in dining hall,H3,P7
2023-05-28 11:16:42,complete,H1,P1
2023-05-28 11:18:33,Frying fish,H1,P1
2023-05-28 11:28:54,fish fry complete,H1,P1
2023-05-28 11:40:27,cooking rice,H1,P1
2023-05-28 11:57:42,cooking rice complete,H1,P1
2023-05-28 12:03:05,return to lab,R1,P37
2023-05-28 12:03:12,window AC on,R1,P37
2023-05-28 12:12:06,dining fan of,H1,P1
2023-05-28 12:14:03,hitting rice,H1,P1
2023-05-28 12:17:47,complete,H1,P1
2023-05-28 12:18:45,cooking chicken,H1,P1
2023-05-28 12:45:44,bedroom 1 fan on,H1,P1
2023-05-28 13:00:06,chicken complete,H1,P1
2023-05-28 13:15:34,bedroom 1 fan of,H1,P1
2023-05-28 13:25:36,dining fan on,H1,P1
2023-05-28 13:26:11,eating lunch,H1,P1
2023-05-28 13:41:59,hitting kari,H1,P1
2023-05-28 13:42:27,looking fish curry,H1,P1
2023-05-28 14:05:52,cleaning table,H1,P1
2023-05-28 14:06:16,washing dishes,H1,P1
2023-05-28 14:14:26,Cooked Masoor daal and rice,H3,P8
2023-05-28 14:14:54,complete,H1,P1
2023-05-28 14:15:22,cleaning kitchen,H1,P1
2023-05-28 14:20:45,complete,H1,P1
2023-05-28 14:21:02,closing kitchen,H1,P1
2023-05-28 14:32:30,dining fan of,H1,P1
2023-05-28 14:56:46,resting in bedroom,H1,P1
2023-05-28 15:17:21,going out of lab,R1,P38
2023-05-28 15:31:34,going out for lunch,R1,P37
2023-05-28 15:31:35,going out for lunch,R1,P38
2023-05-28 15:45:37,bedroom fan switch off,H1,P1
2023-05-28 15:51:24,bedroom fan on,H1,P1
2023-05-28 16:21:35,turn on AC,H3,P8
2023-05-28 16:21:57,coming back to lab,R1,P38
2023-05-28 16:42:16,turned of the AC,H3,P7
2023-05-28 16:44:58,return to lab,R1,P37
2023-05-28 16:58:32,boiling two cups of tea ,H3,P7
2023-05-28 17:07:58,going out of lab,R1,P38
2023-05-28 17:18:19,bedroom fan of,H1,P1
2023-05-28 17:35:02,making tea,H1,P1
2023-05-28 17:38:18,Chhota pagal,H1,P1
2023-05-28 17:39:12,drinking tea at kitchen,H1,P1
2023-05-28 17:40:23,coming back full app,R1,P38
2023-05-28 17:40:30,coming back to lab,R1,P38
2023-05-28 18:51:30,lighting dhup sticks,H1,P1
2023-05-28 19:58:22,return to lab,R1,P36
2023-05-28 20:02:49,stand fan on,R1,P37
2023-05-28 20:04:37,bedroom fan on,H1,P1
2023-05-28 20:07:11,stand fan off,R1,P37
2023-05-28 20:20:29,going out of lab,R1,P38
2023-05-28 20:21:05,going out of lab,R1,P37
2023-05-28 20:21:14,going out from lab,R1,P36
2023-05-28 20:43:42,turn on AC,H3,P7
2023-05-28 20:52:57,return to lab,R1,P37
2023-05-28 20:53:15,return to lab,R1,P36
2023-05-28 20:53:33,return to lab,R1,P38
2023-05-28 10:23:40,breakfast cooking started,H9,P19
2023-05-28 10:24:16,frying broccoli and toasting bread,H9,P19
2023-05-28 20:55:37,table fan on in my desk,R1,P36
2023-05-28 21:00:19,turn off table fan on my desk,R1,P36
2023-05-28 10:39:25,breakfast cooking ends ,H9,P19
2023-05-28 21:17:57,turning of the AC,H3,P8
2023-05-28 21:34:28,cutting ladies finger and potato,H1,P1
2023-05-28 21:43:19,complete,H1,P1
2023-05-28 21:43:21,complete,H1,P1
2023-05-28 21:47:46,return to lab,R1,P39
2023-05-28 21:54:10,turned on the AC,H3,P8
2023-05-28 21:54:19,turned on mosquito repellent 10 minutes ago,H3,P8
2023-05-28 21:54:55,frying potato and ladies finger,H1,P2
2023-05-28 21:55:50,bedroom fan continue,H1,P2
2023-05-28 22:07:24,complete,H1,P2
2023-05-28 22:13:43,making ruti,H1,P1
2023-05-28 11:46:04,door closed bedroom,H9,P19
2023-05-28 11:48:28,tea making start at kitchen,H9,P19
2023-05-28 22:20:20,roti making complete,H1,P1
2023-05-28 22:20:57,turnt of the AC,H3,P8
2023-05-28 22:22:09,dining fan on,H1,P1
2023-05-28 22:22:30,eating dinner,H1,P1
2023-05-28 22:27:14,cutting mango and eating with dinner,H1,P1
2023-05-28 22:45:47,cleaning table,H1,P2
2023-05-28 22:57:15,watching dishes,H1,P1
2023-05-28 22:57:31,kitchen cleaning,H1,P1
2023-05-28 23:00:29,going out for dinner,R1,P37
2023-05-28 23:01:26,dining fan off,H1,P2
2023-05-28 23:07:02,closing kitchen,H1,P1
2023-05-28 23:07:32,bedroom fan on,H1,P1
2023-05-28 23:08:43,going to sleep,H1,P2
2023-05-28 23:41:47," boiling rice approx. from 11:45 am to 12:15 pm. mutton curry approx. from 12:30 pm to 2:30 pm. water spinach sautèing in oil from approx 2:00 pm to 2:30 pm. jackfruit, mango placed on dinning table from 4:45 pm to 10:45 pm approx. ",H7,P16
2023-05-28 23:47:37,return to lab,R1,P36
2023-05-28 23:52:29,discussing with someone ,R1,P39
2023-05-28 23:56:45,return to lab,R1,P39
2023-05-28 23:57:05,working ,R1,P39
2023-05-29 00:31:39,taking rest,R1,P39
2023-05-29 00:33:30,window AC off,R1,P39
2023-05-29 00:35:07,stand fan is off on my desk,R1,P36
2023-05-29 01:08:52,going out for room,R1,P39
2023-05-29 02:19:46,turn on AC ,H3,P7
2023-05-29 02:25:31,turned on the AC 5 minutes ago,H3,P8
2023-05-29 02:31:20,turn off the AC ,H3,P8
2023-05-28 19:16:28,bedroom entry,H9,P19
2023-05-29 06:09:28,bedroom fan off,H1,P1
2023-05-29 06:12:44,wake up,H1,P1
2023-05-29 06:13:42,normel wether,H1,P1
2023-05-29 06:31:56,Making tea,H1,P1
2023-05-29 06:37:49,complete,H1,P1
2023-05-29 06:40:16,Drinking tea at dinjng,H1,P1
2023-05-29 07:38:44,sweeping house,H1,P1
2023-05-29 08:00:21,mopping house,H1,P1
2023-05-29 08:04:54,enter room. turned on fan,H3,P7
2023-05-29 08:05:03,boiling two cups of tea,H3,P7
2023-05-29 08:06:23,dining fan on,H1,P1
2023-05-29 08:19:20,dining fan of,H1,P1
2023-05-29 08:50:30,wake up,R1,P36
2023-05-29 08:50:38,both window AC on,R1,P36
2023-05-29 08:50:51,fan is on,R1,P36
2023-05-29 08:51:03,turn off mosquito repellent,H3,P8
2023-05-29 09:08:59,lighting dhup stick,H1,P1
2023-05-29 09:22:26,eating snacks,H1,P1
2023-05-29 09:24:09,cleaning dining hall,H3,P7
2023-05-29 09:26:09,dining fan on,H1,P2
2023-05-29 09:53:07,dining fan off,H1,P1
2023-05-29 09:55:30,cleaning table,H1,P1
2023-05-29 10:20:54,return to lab,R1,P37
2023-05-29 10:24:09,going out from lab,R1,P36
2023-05-29 10:24:38,sadhan da return,R1,P36
2023-05-29 10:31:25,washing dishes,H1,P1
2023-05-29 10:33:36,complete,H1,P1
2023-05-29 10:34:11,cutting potato,H1,P1
2023-05-29 10:42:28,boiling eggs in pressure cooker,H1,P1
2023-05-29 10:48:08,complete,H1,P1
2023-05-29 10:48:37,completed cooking mix veg sabzi,H3,P8
2023-05-29 10:51:22,boiling potato in pressure cooker,H1,P1
2023-05-29 10:52:18,return to lab,R1,P36
2023-05-29 10:52:50,return to lab,R1,P38
2023-05-29 10:52:58,turning off the fan,R1,P38
2023-05-29 10:54:54,turning on the table fan on my desk,R1,P36
2023-05-29 10:56:39,complete,H1,P1
2023-05-29 11:03:43,both window AC on,R1,P36
2023-05-29 11:11:07,making curry,H1,P1
2023-05-29 11:24:00,complete,H1,P1
2023-05-29 11:27:24,cooking rice,H1,P1
2023-05-29 11:35:57,return to lab,R1,P39
2023-05-29 11:37:00,complete,H1,P1
2023-05-29 11:39:29,bedroom fan on,H1,P1
2023-05-29 11:49:48,doing pooja,H3,P7
2023-05-29 12:05:01,entered bedroom turn on fan,H3,P7
2023-05-29 12:06:02,bedroom fan of,H1,P1
2023-05-29 12:07:23,heating rice,H1,P1
2023-05-29 12:14:12,complete,H1,P1
2023-05-29 12:49:00,bedroom fan on,H1,P1
2023-05-29 13:05:45,going out from lab,R1,P36
2023-05-29 13:06:15,argha going out from lab,R1,P36
2023-05-29 13:10:22,turned on the AC,H3,P8
2023-05-29 13:17:59,bedroom fan off,H1,P1
2023-05-29 13:19:39,eating lunch,H1,P1
2023-05-29 13:22:41,dining fan on,H1,P1
2023-05-29 13:33:22,argha return to lab,R1,P36
2023-05-29 13:33:29,return to lab,R1,P39
2023-05-29 13:33:56,going out for room ,R1,P39
2023-05-29 13:34:47,cleaning table,H1,P1
2023-05-29 13:36:11,dining fan off,H1,P1
2023-05-29 13:36:27,stand fan on in my desk,R1,P36
2023-05-29 13:36:37,cleaning dishes,H1,P1
2023-05-29 13:37:07,normal outside,R1,P36
2023-05-29 13:37:45,turned of the AC,H3,P8
2023-05-29 13:38:22,going out of lab,R1,P37
2023-05-29 13:40:01,complete,H1,P1
2023-05-29 13:41:55,closing kitchen,H1,P1
2023-05-29 14:54:12,boiling rice from approx.10:30 am to 11:00 am. fish curry with bottle gourd from aporox. 11:30 am to 12:00pm. potato with bottle gourd skin frying from approx. 12:00 pm to 12:30 pm,H7,P16
2023-05-29 15:09:48,turning on the AC,H3,P8
2023-05-29 15:10:35,going out from lab,R1,P36
2023-05-29 15:55:53,return to lab,R1,P36
2023-05-29 15:56:25,coming back to lab,R1,P38
2023-05-29 15:57:26,turn off the AC 5 minutes ago,H3,P8
2023-05-29 16:03:34,bedroom fan on,H1,P1
2023-05-29 16:04:45,readingDebolina,H1,P1
2023-05-29 17:00:58,making tea,H1,P1
2023-05-29 17:03:52,complete,H1,P1
2023-05-29 17:05:03,taking tea in the bedroom,H1,P1
2023-05-29 17:06:32,me and Argha going out for tea,R1,P36
2023-05-29 17:32:36,return to lab,R1,P36
2023-05-29 17:33:10,stand fan on in my desk,R1,P36
2023-05-29 17:58:54,Coming back to lab,R1,P38
2023-05-29 18:03:08,reading complete,H1,P1
2023-05-29 18:03:42,bedroom fan off,H1,P1
2023-05-29 18:40:46,lighting dhup stick,H1,P1
2023-05-29 18:43:20,return to lab,R1,P37
2023-05-29 18:44:01,return to lab,R1,P39
2023-05-29 18:53:28,stand fan off in my desk,R1,P36
2023-05-29 18:53:38,going out from lab,R1,P36
2023-05-29 19:28:16,cutting potato onion ginger and garlic,H1,P1
2023-05-29 19:34:57,complete,H1,P1
2023-05-29 19:38:33,return to lab,R1,P36
2023-05-29 19:41:32,cooked pulao,H3,P8
2023-05-29 19:44:31,cooking daal,H1,P1
2023-05-29 19:45:00,cooking dal,H1,P1
2023-05-29 19:48:46,dining fan on,H1,P1
2023-05-29 19:53:44,dal complete,H1,P1
2023-05-29 20:13:46,eating snacks,H1,P1
2023-05-29 09:45:36,bedroom door open ,H9,P19
2023-05-29 09:45:48,breakfast cooking starts at kitchen,H9,P19
2023-05-29 20:16:45,heating dal,H1,P1
2023-05-29 09:52:04,boiling at kitchen starts,H9,P19
2023-05-29 20:23:10,Dal complete,H1,P1
2023-05-29 20:26:04,bedroom fan on,H1,P1
2023-05-29 20:31:53,dining fan off,H1,P2
2023-05-29 20:42:39,AC of,R1,P38
2023-05-29 20:47:49,turned on mosquito repellent,H3,P8
2023-05-29 21:05:06,exiting kitchen and dining room. Turned off the fan.,H3,P7
2023-05-29 10:57:44,tea making at kitchen,H9,P19
2023-05-29 21:47:39,making roti,H1,P1
2023-05-29 21:47:40,making roti,H1,P1
2023-05-29 21:48:37,bedroom fan off,H1,P2
2023-05-29 21:54:54,making roti complete,H1,P1
2023-05-29 21:55:54,going out for smoking,R1,P38
2023-05-29 21:56:10,dining fan on,H1,P1
2023-05-29 21:56:49,frying egg,H1,P1
2023-05-29 22:01:45,complete,H1,P1
2023-05-29 22:01:58,eating dinner,H1,P1
2023-05-29 22:02:48,coming back to lab,R1,P38
2023-05-29 22:16:34,clining table,H1,P1
2023-05-29 22:16:53,washing dishe,H1,P1
2023-05-29 22:26:25,complete,H1,P1
2023-05-29 22:26:49,clinning kitchen,H1,P1
2023-05-29 22:30:44,complete,H1,P1
2023-05-29 22:30:59,turned on the AC,H3,P8
2023-05-29 22:32:25,closing kitchen,H1,P1
2023-05-29 22:37:15,turn off AC,H3,P7
2023-05-29 22:49:44,dining fan off,H1,P1
2023-05-29 23:21:14,bedroom fan on,H1,P1
2023-05-29 23:21:28,going to sleep,H1,P1
2023-05-29 23:41:36,going out for home ,R1,P37
2023-05-29 23:42:50,going out from lab,R1,P36
2023-05-29 23:43:27,going out of lab,R1,P38
2023-05-30 01:22:11,window AC off,R1,P39
2023-05-30 01:22:38,going out from lab,R1,P39
2023-05-30 01:43:55,turned on the AC,H3,P8
2023-05-29 19:08:48,bedroom.enter after outside ,H9,P19
2023-05-30 05:46:58,going to wake up,H1,P1
2023-05-30 05:47:14,bedroom fan off,H1,P1
2023-05-30 05:47:37,normal weather,H1,P1
2023-05-30 06:11:08,making tea,H1,P2
2023-05-30 06:14:42,complete,H1,P2
2023-05-30 06:14:51,taking tea in dining,H1,P2
2023-05-30 06:15:39,dining fan on,H1,P2
2023-05-30 06:46:48,dinining fan off,H1,P2
2023-05-30 07:03:23,sweeping house,H1,P1
2023-05-30 07:16:30,moping house,H1,P1
2023-05-30 07:22:00,dining fan on,H1,P1
2023-05-30 07:30:44,dining fan of ,H1,P1
2023-05-30 07:39:57,cutting vegetables,H1,P1
2023-05-30 07:51:13,complete,H1,P1
2023-05-30 08:25:18,lighting dhup stick,H1,P1
2023-05-30 08:25:58,enteree room turn on fan,H3,P7
2023-05-30 08:26:06,making two cups of tea,H3,P7
2023-05-30 08:33:46,cooking vegetable,H1,P1
2023-05-30 08:40:43,complete,H1,P1
2023-05-30 08:41:12,cooking rice in pressure cooker,H1,P1
2023-05-29 22:19:36,dinner cooking starts,H9,P19
2023-05-30 08:54:04,complete,H1,P1
2023-05-30 08:54:42,frying onion ginger and garlic and hitting dal,H1,P1
2023-05-30 09:01:39,dal complete,H1,P1
2023-05-30 09:02:05,hitting rice,H1,P1
2023-05-30 09:02:29,turned off mosquito repellent,H3,P8
2023-05-30 09:10:10,complete,H1,P1
2023-05-30 09:11:36,frying Chilli,H1,P1
2023-05-30 09:14:30,complete,H1,P1
2023-05-30 09:29:07,frying egg,H1,P1
2023-05-30 09:33:22,complete,H1,P1
2023-05-30 09:33:44,dining fan on,H1,P1
2023-05-30 09:34:13,eating right,H1,P1
2023-05-29 23:05:46,cooking ends at kitchen ,H9,P19
2023-05-29 23:06:03,fish frying happened in between ,H9,P19
2023-05-30 09:41:32,cutting mango,H1,P1
2023-05-30 09:53:52,cleaning table,H1,P1
2023-05-30 10:08:41,dining fan of,H1,P1
2023-05-30 10:20:36,cleaning dishes,H1,P1
2023-05-30 10:24:31,cooking lauki besan,H3,P8
